Class ID,Recognition filename,Detection filename,Comment
1,001/01.png,train/0748.png,
1,001/02.png,train/0166.png,
1,001/04.png,train/0249.png,
1,001/05.png,train/0333.png,
1,001/06.png,train/0416.png,
1,001/07.png,train/0500.png,
1,001/08.png,train/0584.png,
1,001/09.png,train/0666.png,
1,001/10.png,train/0747.png,
1,001/03.png,test/0004.png,
2,002/01.png,test/0007.png,
2,002/02.png,test/0009.png,
2,002/03.png,train/0033.png,
2,002/04.png,train/0041.png,
2,002/05.png,train/0049.png,
2,002/06.png,train/0057.png,
2,002/07.png,train/0066.png,
2,002/08.png,train/0076.png,
2,002/09.png,train/0084.png,
2,002/10.png,train/0092.png,
3,003/03.png,train/0100.png,
3,003/04.png,test/0037.png,
3,003/05.png,test/0040.png,
3,003/06.png,test/0042.png,
3,003/07.png,train/0132.png, 
3,003/08.png,train/0140.png, 
3,003/09.png,train/0148.png, 
3,003/10.png,train/0156.png, 
3,003/01.png,train/0165.png,
3,003/02.png,train/0176.png,
4,004/01.png,train/0184.png,
4,004/04.png,train/0192.png,
4,004/05.png,train/0200.png,
4,004/06.png,test/0070.png,
4,004/07.png,test/0073.png,
4,004/02.png,test/0075.png,
4,004/08.png,train/0232.png,
4,004/09.png,train/0240.png,
4,004/10.png,train/0248.png,
4,004/03.png,train/0257.png,
5,005/01.png,train/0266.png,
5,005/09.png,train/0276.png,
5,005/10.png,train/0284.png,
5,005/04.png,train/0292.png,
5,005/02.png,train/0300.png,
5,005/05.png,test/0103.png,
5,005/06.png,test/0106.png,
5,005/07.png,test/0108.png,
5,005/08.png,train/0332.png,
5,005/03.png,train/0341.png,
6,006/01.png,train/0349.png,
6,006/09.png,train/0357.png,
6,006/10.png,train/0366.png,
6,006/02.png,train/0376.png,
6,006/03.png,train/0384.png,
6,006/04.png,train/0392.png,
6,006/05.png,train/0400.png,
6,006/06.png,test/0136.png,
6,006/07.png,test/0139.png,
6,006/08.png,test/0141.png,
7,007/01.png,train/0433.png,
7,007/02.png,train/0441.png,
7,007/03.png,train/0449.png,
7,007/04.png,train/0749.png,
7,007/05.png,train/0465.png,
7,007/06.png,train/0475.png,
7,007/07.png,train/0483.png,
7,007/08.png,train/0491.png,
7,007/09.png,train/0499.png,
7,007/10.png,test/0168.png,
8,008/01.png,test/0171.png,
8,008/06.png,test/0173.png,
8,008/07.png,train/0532.png,
8,008/02.png,train/0540.png,
8,008/03.png,train/0548.png,
8,008/08.png,train/0556.png,
8,008/09.png,train/0565.png,
8,008/10.png,train/0575.png,
8,008/04.png,train/0583.png,
8,008/05.png,train/0592.png,
9,009/03.png,train/0600.png,
9,009/04.png,test/0201.png,
9,009/01.png,test/0204.png,
9,009/05.png,test/0206.png,
9,009/06.png,train/0632.png,
9,009/07.png,train/0640.png,
9,009/08.png,train/0648.png,
9,009/09.png,train/0656.png,
9,009/10.png,train/0665.png,
9,009/02.png,train/0676.png,
10,010/05.png,train/0684.png,
10,010/06.png,train/0691.png,
10,010/01.png,train/0699.png,
10,010/07.png,test/0234.png,
10,010/08.png,test/0237.png,
10,010/02.png,test/0239.png,
10,010/09.png,train/0730.png,
10,010/10.png,train/0738.png,
10,010/03.png,train/0746.png,
10,010/04.png,train/0002.png,
11,011/02.png,train/0003.png,
11,011/03.png,train/0004.png,
11,011/04.png,train/0005.png,
11,011/05.png,train/0006.png,
11,011/06.png,train/0007.png,
11,011/07.png,test/0001.png,
11,011/08.png,test/0002.png,
11,011/09.png,test/0003.png,
11,011/10.png,train/0008.png,
11,011/01.png,train/0009.png,
12,012/01.png,train/0010.png,
12,012/02.png,train/0011.png,
12,012/03.png,train/0012.png,
12,012/04.png,train/0013.png,
12,012/05.png,train/0014.png,
12,012/06.png,train/0015.png,
12,012/07.png,train/0016.png,
12,012/08.png,test/0005.png,
12,012/09.png,test/0006.png,
12,012/10.png,test/0008.png,
13,013/04.png,train/0017.png,
13,013/05.png,train/0018.png,
13,013/01.png,train/0019.png,
13,013/06.png,train/0020.png,
13,013/07.png,train/0021.png,
13,013/02.png,train/0022.png,
13,013/08.png,train/0023.png,
13,013/09.png,train/0024.png,
13,013/10.png,train/0025.png,
13,013/03.png,test/0010.png,
14,014/02.png,test/0011.png,
14,014/10.png,test/0012.png,
14,014/03.png,train/0026.png,
14,014/04.png,train/0027.png,
14,014/05.png,train/0028.png,
14,014/06.png,train/0029.png,
14,014/07.png,train/0030.png,
14,014/08.png,train/0031.png,
14,014/09.png,train/0032.png,
14,014/01.png,train/0034.png,
15,015/01.png,train/0035.png,
15,015/02.png,test/0013.png,
15,015/07.png,test/0014.png,
15,015/03.png,test/0015.png,
15,015/04.png,train/0036.png,
15,015/08.png,train/0037.png,
15,015/09.png,train/0038.png,
15,015/05.png,train/0039.png,
15,015/10.png,train/0040.png,
15,015/06.png,train/0042.png,
16,016/04.png,train/0043.png,
16,016/05.png,train/0044.png,
16,016/06.png,train/0045.png,
16,016/07.png,test/0016.png,
16,016/08.png,test/0017.png,
16,016/09.png,test/0018.png,
16,016/10.png,train/0046.png,
16,016/01.png,train/0047.png,
16,016/02.png,train/0048.png,
16,016/03.png,train/0050.png,
17,017/04.png,train/0051.png,
17,017/05.png,train/0052.png,
17,017/01.png,train/0053.png,
17,017/02.png,train/0054.png,
17,017/06.png,train/0055.png,
17,017/07.png,test/0019.png,
17,017/08.png,test/0020.png,
17,017/09.png,test/0021.png,
17,017/03.png,train/0056.png,
17,017/10.png,train/0058.png,
18,018/01.png,train/0059.png,
18,018/02.png,train/0060.png,
18,018/03.png,train/0061.png,
18,018/04.png,train/0062.png,
18,018/05.png,train/0063.png,
18,018/06.png,train/0064.png,
18,018/07.png,train/0065.png,
18,018/08.png,test/0022.png,
18,018/09.png,test/0023.png,
18,018/10.png,test/0024.png,
19,019/04.png,train/0067.png,
19,019/05.png,train/0068.png,
19,019/06.png,train/0069.png,
19,019/07.png,train/0070.png,
19,019/08.png,train/0071.png,
19,019/09.png,train/0072.png,
19,019/01.png,train/0073.png,
19,019/10.png,train/0074.png,
19,019/02.png,train/0075.png,
19,019/03.png,test/0025.png,
20,020/01.png,test/0026.png,
20,020/02.png,test/0027.png,
20,020/04.png,train/0077.png,
20,020/05.png,train/0078.png,
20,020/06.png,train/0079.png,
20,020/07.png,train/0080.png,
20,020/08.png,train/0081.png,
20,020/09.png,train/0082.png,
20,020/10.png,train/0083.png,
20,020/03.png,train/0085.png,
21,021/01.png,train/0086.png,
21,021/04.png,test/0028.png,
21,021/05.png,test/0029.png,
21,021/02.png,test/0030.png,Cut out
21,021/06.png,train/0087.png,
21,021/07.png,train/0088.png,
21,021/08.png,train/0089.png,
21,021/09.png,train/0090.png,
21,021/10.png,train/0091.png,
21,021/03.png,train/0093.png,
22,022/05.png,train/0094.png,
22,022/06.png,train/0095.png,
22,022/01.png,train/0096.png,
22,022/07.png,test/0031.png,
22,022/08.png,test/0032.png,
22,022/09.png,test/0033.png,
22,022/02.png,train/0097.png,
22,022/10.png,train/0098.png,
22,022/03.png,train/0099.png,
22,022/04.png,train/0101.png,
23,023/01.png,train/0102.png,
23,023/03.png,train/0103.png,
23,023/04.png,train/0104.png,
23,023/05.png,train/0105.png,
23,023/06.png,train/0106.png,
23,023/07.png,test/0034.png,
23,023/08.png,test/0035.png,
23,023/09.png,test/0036.png,
23,023/10.png,train/0107.png,
23,023/02.png,train/0108.png,
24,024/01.png,train/0109.png,
24,024/03.png,train/0110.png,
24,024/02.png,train/0111.png,
24,024/04.png,train/0112.png,
24,024/05.png,train/0113.png,
24,024/06.png,train/0114.png,
24,024/07.png,train/0115.png,
24,024/08.png,test/0038.png,
24,024/09.png,test/0039.png,
24,024/10.png,test/0041.png,
25,025/04.png,train/0116.png,
25,025/01.png,train/0117.png,
25,025/05.png,train/0118.png,
